ClientId,AsianSubgroupId
2,3
100,7
135,7
162,7
167,7
220,3
278,3
289,7
292,3
311,7
329,7
358,7
394,3
424,3
431,3
438,7
513,3
517,3
540,7
549,7
646,7
678,3
720,7
730,7
772,7
805,7
806,7
807,7
825,3
831,3
850,7
941,1
1023,7
1053,7
1066,7
1126,7
1189,7
1193,3
1273,3
1277,7
1296,7
1403,5
1406,7
1477,3
1490,3
1534,7
1601,7
1603,3
1645,7
1703,7
1770,7
1777,7
1823,7
1881,7
1898,7
1913,7
1922,7
1955,3
1991,7
2076,3
2098,7
2130,3
2180,7
2206,3
2231,7
2232,7
2262,7
2263,7
2306,7
2344,7
2367,7
2378,7
2465,7
2539,7
2566,7
2645,7
2648,7
2651,7
2653,7
2674,6
2685,7
2686,7
2731,7
2733,7
2819,1
2844,7
2873,7
2887,7
2901,1
2912,7
2922,7
2929,7
2930,7
3156,7
3178,7
3232,7
3236,1
3302,7
3320,7
3360,1
3390,7
3398,3
3428,3
3446,7
3465,3
3474,1
3487,7
3511,1
3514,6
3518,1
3544,7
3549,1
3551,7
3604,7
3620,2
3638,2
3657,7
3662,1
3682,4
3702,7
3759,7
3760,1
3834,7
3844,4
3856,7
3909,3
4008,7
4028,3
4037,7
4038,7
4041,7
4046,7
4053,1
4103,7
4147,3
4168,7
4174,7
4178,7
4251,6
4292,7
4320,3
4331,7
4339,3
4384,4
4405,7
4408,7
4437,1
4487,7
4511,3
4556,7
4561,3
4619,7
4656,7
4690,1
4737,7
